"","YEAR","GEOID","A","B","C"
"268",1990,"220150113002",1268.39,1268.39,1268.39
"269",1990,"220170205001",1199.56,1199.56,1199.56
"270",1990,"220170205002",1990.66,1990.66,1990.66
"271",1990,"220170206001",2117,2117,2117
"272",1990,"220170207001",1124,1124,1124
"273",1990,"220170207002",1231,1231,1231
"274",1990,"220170210001",1077,1077,1077
"275",1990,"220170210002",903,903,903
"276",1990,"220170211001",644,644,644
"277",1990,"220170211002",813,813,813
"278",1990,"220170211003",1352,1352,1352
"279",1990,"220170212001",976,976,976
"280",1990,"220170212002",1132,1132,1132
"281",1990,"220170212003",850.07,850.07,850.07
"282",1990,"220170212004",866.93,866.93,866.93
"283",1990,"220170213001",1442.27,1442.27,1442.27
"284",1990,"220170213002",1079,1079,1079
"285",1990,"220170213003",834,834,834
"286",1990,"220170214001",1107,1107,1107
"287",1990,"220170214002",910.33,910.33,910.33
"288",1990,"220170215001",1287,1287,1287
"289",1990,"220170215002",1112,1112,1112
"290",1990,"220170216001",1055,1055,1055
"291",1990,"220170216002",1085,1085,1085
"292",1990,"220170216003",858,858,858
"293",1990,"220170216004",777.01,777.01,777.01
"294",1990,"220170217001",1091,1091,1091
"295",1990,"220170217002",1226,1226,1226
"296",1990,"220170218001",962,962,962
"297",1990,"220170218002",1344,1344,1344
"298",1990,"220170219001",1564.62,1564.62,1564.62
"299",1990,"220170219002",1048.74,1048.74,1048.74
"300",1990,"220170220001",1303,1303,1303
"301",1990,"220170220002",1333,1333,1333
"302",1990,"220170221001",1262,1262,1262
"303",1990,"220170221002",1091,1091,1091
"304",1990,"220170221003",670,670,670
"305",1990,"220170221004",877,877,877
"306",1990,"220170221005",1081,1081,1081
"307",1990,"220170221006",1205,1205,1205
"308",1990,"220170221007",1156,1156,1156
"309",1990,"220170222001",1385,1385,1385
"310",1990,"220170222002",1315,1315,1315
"311",1990,"220170222003",1212,1212,1212
"312",1990,"220170222004",1690,1690,1690
"313",1990,"220170223001",1018,1018,1018
"314",1990,"220170223002",1159,1159,1159
"315",1990,"220170223003",602,602,602
"316",1990,"220170223004",946,946,946
"317",1990,"220170224001",1211,1211,1211
"318",1990,"220170224002",1159.2,1159.2,1159.2
"319",1990,"220170224003",1287,1287,1287
"320",1990,"220170225001",1460,1460,1460
"321",1990,"220170225002",1424,1424,1424
"322",1990,"220170225003",1243,1243,1243
"323",1990,"220170225004",1210.8,1210.8,1210.8
"324",1990,"220170226001",1102.35,1102.35,1102.35
"325",1990,"220170226002",743,743,743
"326",1990,"220170226003",1160.98,1160.98,1160.98
"327",1990,"220170227001",1312,1312,1312
"328",1990,"220170227002",1085,1085,1085
"329",1990,"220170228001",949.1,949.1,949.1
"330",1990,"220170228002",988,988,988
"331",1990,"220170228003",985,985,985
"332",1990,"220170228004",1087,1087,1087
"333",1990,"220170229001",1180.28,1180.28,1180.28
"334",1990,"220170229002",1451.33,1451.33,1451.33
"335",1990,"220170229003",1175,1175,1175
"336",1990,"220170229004",1148.35,1148.35,1148.35
"337",1990,"220170230001",1581,1581,1581
"338",1990,"220170230002",1395.9,1395.9,1395.9
"339",1990,"220170230003",674,674,674
"340",1990,"220170231001",802.02,802.02,802.02
"341",1990,"220170231002",996,996,996
"342",1990,"220170232001",1259.65,1259.65,1259.65
"343",1990,"220170232002",998.63,998.63,998.63
"344",1990,"220170233001",771,771,771
"345",1990,"220170233002",1116,1116,1116
"346",1990,"220170233003",821,821,821
"347",1990,"220170234001",699,699,699
"348",1990,"220170234002",1170,1170,1170
"349",1990,"220170234003",653,653,653
"350",1990,"220170234004",876,876,876
"351",1990,"220170234005",1362,1362,1362
"352",1990,"220170234006",1353,1353,1353
"353",1990,"220170235001",1270,1270,1270
"354",1990,"220170235002",1361,1361,1361
"355",1990,"220170235003",1673.79,1673.79,1673.79
"356",1990,"220170235004",1620.44,1620.44,1620.44
"357",1990,"220170236001",1100.48,1100.48,1100.48
"358",1990,"220170236002",1305.09,1305.09,1305.09
"359",1990,"220170236003",1660.52,1660.52,1660.52
"360",1990,"220170237001",1370.37,1370.37,1370.37
"361",1990,"220170237002",1335,1335,1335
"362",1990,"220170237003",1331,1331,1331
"363",1990,"220170237004",1904,1904,1904
"364",1990,"220170237005",1222,1222,1222
"365",1990,"220170238001",1253.74,1253.74,1253.74
"366",1990,"220170238002",1645.26,1645.26,1645.26
"367",1990,"220170238003",1926,1926,1926
"368",1990,"220170238004",1254,1254,1254
"369",1990,"220170238005",1531,1531,1531
"370",1990,"220170239011",944.69,944.69,944.69
"371",1990,"220170239012",651,651,651
"372",1990,"220170239013",1598,1598,1598
